"Number_RE","method","mean_count"
0,"czmk",1547.045
0,"observed",1904.65
0,"zom",1665.7
1,"czmk",294.165
1,"observed",270.89
1,"zom",284.675
2,"czmk",1905.125
2,"observed",1587.745
2,"zom",2009.81
3,"czmk",862.74
3,"observed",837.82
3,"zom",716.83
4,"czmk",257.665
4,"observed",267.885
4,"zom",365.563025210084
5,"czmk",86.885
5,"observed",87.77
5,"zom",139.294117647059
6,"czmk",30.5561224489796
6,"observed",28.495
6,"zom",44.4705882352941
7,"czmk",12.8225806451613
7,"observed",11.3404255319149
7,"zom",17.02
8,"czmk",5.06
8,"observed",4.25625
8,"zom",6.23529411764706
9,"czmk",2.25396825396825
9,"observed",2.02985074626866
9,"zom",2.70454545454545
