ID,L_open,R_closed,IndR,IndD,Cov,Trt,R_Label
1,0,0.16723152769873229,1,0,-0.08378435549813135,0,Recurrent1
1,0.16723152769873229,1.1700462456434533,0,1,-0.08378435549813135,0,Failure
2,0,0.9395430304871779,0,1,-0.9829437452806871,0,Failure
3,0,0.3963042073799343,1,0,-1.8750673214047984,0,Recurrent1
3,0.3963042073799343,0.46054181358740687,0,1,-1.8750673214047984,0,Failure
4,0,1.0157111112272863,1,0,-0.186144660710734,0,Recurrent1
4,1.0157111112272863,1.8689810514701493,0,1,-0.186144660710734,0,Failure
5,0,0.17333826166577637,0,0,-0.6334856981520298,1,Censor
6,0,0.05549510322156524,1,0,1.0907974641466935,1,Recurrent1
6,0.05549510322156524,0.4736040138021441,0,1,1.0907974641466935,1,Failure
7,0,0.3259379968989405,1,0,-0.9137272741429239,1,Recurrent1
7,0.3259379968989405,0.8407816715262834,0,1,-0.9137272741429239,1,Failure
8,0,0.02817587781105069,1,0,1.0016397115507696,1,Recurrent1
8,0.02817587781105069,0.5643623038315181,0,1,1.0016397115507696,1,Failure
9,0,0.5556197444794114,0,1,-0.3992666032193733,0,Failure
10,0,0.05206368083697177,1,0,-0.46812305401352095,1,Recurrent1
10,0.05206368083697177,0.15633764870690836,0,1,-0.46812305401352095,1,Failure
11,0,0.21548728035930162,1,0,0.32696208288008993,1,Recurrent1
11,0.21548728035930162,0.6658661225810647,0,0,0.32696208288008993,1,Censor
12,0,0.18218708513375811,1,0,-0.4127468983518599,0,Recurrent1
12,0.18218708513375811,1.1659347210900342,0,1,-0.4127468983518599,0,Failure
13,0,0.24478782900073348,1,0,0.5620364694436935,1,Recurrent1
13,0.24478782900073348,0.5679490440325456,0,1,0.5620364694436935,1,Failure
14,0,0.13201936056072483,0,1,0.6633582599799417,0,Failure
15,0,0.9618039486239608,1,0,-0.602897283941171,1,Recurrent1
15,0.9618039486239608,1.0299295635942327,0,1,-0.602897283941171,1,Failure
16,0,0.1072524567995079,1,0,0.6983776887655277,0,Recurrent1
16,0.1072524567995079,0.5089700042845199,0,1,0.6983776887655277,0,Failure
17,0,0.2203640402525104,1,0,0.5958464504565819,1,Recurrent1
17,0.2203640402525104,1.4468603497786152,0,1,0.5958464504565819,1,Failure
18,0,0.4235115645984688,0,1,0.4520918258014216,0,Failure
19,0,0.06991572111984472,1,0,0.8967439598332879,1,Recurrent1
19,0.06991572111984472,1.0038313479879706,0,1,0.8967439598332879,1,Failure
20,0,0.11508356369751473,1,0,0.572216514681207,0,Recurrent1
20,0.11508356369751473,0.15496849324454506,0,1,0.572216514681207,0,Failure
21,0,0.014910562857846242,0,1,-0.4116530135661546,0,Failure
22,0,0.08330364823155616,0,1,-0.29432714621786116,0,Failure
23,0,0.4063219041218457,1,0,1.2185739573134506,0,Recurrent1
23,0.4063219041218457,0.7168402546085417,0,0,1.2185739573134506,0,Censor
24,0,0.2106138526669572,0,1,0.2441114266723062,1,Failure
25,0,0.5413108719287535,0,1,-0.44515195760323206,0,Failure
26,0,1.016907406738028,0,0,-1.8478036443990913,1,Censor
27,0,0.31823362500608326,0,1,-0.6288253051265151,1,Failure
28,0,0.1056939309506158,0,1,-0.8610806918876148,0,Failure
29,0,0.31951532231879376,0,1,1.5149202980447252,0,Failure
30,0,0.0029202781722420263,1,0,2.7352389326141058,1,Recurrent1
30,0.0029202781722420263,1.0610259214577116,0,1,2.7352389326141058,1,Failure
31,0,0.7694943097789316,0,1,-0.2748770638594025,0,Failure
32,0,0.041250367662528445,1,0,1.2766540650894227,0,Recurrent1
32,0.041250367662528445,1.062693955235188,0,1,1.2766540650894227,0,Failure
33,0,1.1226522269089896,0,1,-0.8109803439030776,0,Failure
34,0,0.5071943941271189,1,0,-0.04492277608383075,1,Recurrent1
34,0.5071943941271189,0.5256191460845347,0,1,-0.04492277608383075,1,Failure
35,0,0.6409124675410036,0,1,-0.6394123751642132,1,Failure
36,0,0.9577952530680686,0,1,-0.4383559969843502,0,Failure
37,0,0.1977866571587465,1,0,0.5072022010162368,1,Recurrent1
37,0.1977866571587465,0.711138203041628,0,0,0.5072022010162368,1,Censor
38,0,0.04184957814422719,1,0,1.1292191972367185,1,Recurrent1
38,0.04184957814422719,2.1947546245064586,0,0,1.1292191972367185,1,Censor
39,0,0.22142261559894566,0,1,0.9756376525059427,0,Failure
40,0,0.17213592683859144,0,1,-0.12460379324110299,0,Failure
41,0,0.6828404825383864,1,0,0.4283365792606744,0,Recurrent1
41,0.6828404825383864,2.062592137372121,0,0,0.4283365792606744,0,Censor
42,0,0.15288634022025893,1,0,0.4187263598820323,1,Recurrent1
42,0.15288634022025893,0.5934587494468442,0,1,0.4187263598820323,1,Failure
43,0,0.5410300222240949,1,0,0.43546648703328655,0,Recurrent1
43,0.5410300222240949,1.9178082983731062,0,1,0.43546648703328655,0,Failure
44,0,0.7115736948200042,0,1,-0.2042620938100991,0,Failure
45,0,0.0753673115427193,1,0,0.30235349213565027,1,Recurrent1
45,0.0753673115427193,0.707711418257981,0,1,0.30235349213565027,1,Failure
46,0,0.25833289572417795,1,0,0.6943577971505147,1,Recurrent1
46,0.25833289572417795,0.6764585350226865,0,1,0.6943577971505147,1,Failure
47,0,0.007213334682544736,1,0,2.373065663596561,1,Recurrent1
47,0.007213334682544736,1.4968042250256985,0,0,2.373065663596561,1,Censor
48,0,0.05254382740689542,1,0,1.075970285175579,1,Recurrent1
48,0.05254382740689542,1.1688363261055201,0,0,1.075970285175579,1,Censor
49,0,0.11842943590304388,1,0,0.33538477513749476,1,Recurrent1
49,0.11842943590304388,0.6502399280502048,0,1,0.33538477513749476,1,Failure
50,0,0.04342626186566836,1,0,0.7534282331532589,1,Recurrent1
50,0.04342626186566836,0.09759543929249048,0,0,0.7534282331532589,1,Censor
51,0,0.04198679248822382,0,1,0.6643862773681412,0,Failure
52,0,0.42775927419035326,0,1,-1.09088265626008,0,Failure
53,0,0.13075289547844804,1,0,-0.42277084913655627,0,Recurrent1
53,0.13075289547844804,1.6981166682671756,0,0,-0.42277084913655627,0,Censor
54,0,0.05983651240107283,1,0,1.1834020390672149,1,Recurrent1
54,0.05983651240107283,0.1129424583632499,0,0,1.1834020390672149,1,Censor
55,0,0.053243657104260746,1,0,1.5848267892881898,1,Recurrent1
55,0.053243657104260746,0.8978835423476994,0,0,1.5848267892881898,1,Censor
56,0,0.35694461160721125,0,1,2.280855369167728,0,Failure
57,0,0.0623516225224682,0,1,-2.065457050783345,0,Failure
58,0,0.45649372446426967,0,1,-0.4081119696311992,0,Failure
59,0,0.19276475246189528,1,0,0.30101456635413526,1,Recurrent1
59,0.19276475246189528,0.649765567616339,0,1,0.30101456635413526,1,Failure
60,0,0.017313449643552303,0,0,0.6966130776728431,0,Censor
61,0,0.19715408592785014,0,1,0.9881838684833384,0,Failure
62,0,0.34489176934584975,0,0,-0.2840632335014227,0,Censor
63,0,0.0035460057068569207,0,1,-1.9222674685674253,0,Failure
64,0,0.8277074888905018,1,0,-1.1737197992083244,0,Recurrent1
64,0.8277074888905018,1.2150789585688904,0,1,-1.1737197992083244,0,Failure
65,0,0.36305474549813943,1,0,1.044282743206488,0,Recurrent1
65,0.36305474549813943,0.8874093497470746,0,1,1.044282743206488,0,Failure
66,0,0.3753354941954587,1,0,-0.13292810174574105,1,Recurrent1
66,0.3753354941954587,0.4094352914249467,0,1,-0.13292810174574105,1,Failure
